DATA,TEMP
1966-02-01,23.436171286140276
1966-03-01,29.78767468533323
1966-04-01,25.626344872068877
1966-05-01,22.958315231028568
1966-06-01,19.513769500431774
1966-07-01,16.049313100871977
1966-08-01,18.339040031615518
1966-09-01,20.131000238284372
1966-10-01,18.976181438431112
1966-11-01,14.675476942425849
1966-12-01,14.356906239018052
1967-01-01,20.847784320951924
1967-02-01,23.256975265473383
1967-03-01,26.323218285773436
1967-04-01,23.97375934814093
1967-05-01,23.854295334362995
1967-06-01,18.339040031615518
1967-07-01,16.00949176294601
1967-08-01,19.593412176283717
1967-09-01,18.120022673022657
1967-10-01,18.61778939709734
1967-11-01,14.376816907981034
1967-12-01,15.451993031982356
1968-01-01,18.77707474880124
1968-02-01,23.13751125169546
1968-03-01,25.546702196216923
1968-04-01,27.05991303740397
1968-05-01,22.998136568954543
1968-06-01,20.15091090724737
1968-07-01,16.666543838724582
1968-08-01,17.2638639076142
1968-09-01,19.712876190061642
1968-10-01,18.3589507005785
1968-11-01,14.078156873536228
1968-12-01,15.133422328574557
1969-01-01,17.681987955836938
1969-02-01,24.411794065326653
1969-03-01,26.900627685700066
1969-04-01,27.557679761478653
1969-05-01,21.206176362285685
1969-06-01,18.836806755690198
1969-07-01,16.566990493909643
1969-08-01,19.43412682457982
1969-09-01,19.87216154176554
1969-10-01,18.299218693689543
1969-11-01,14.317084901092079
1969-12-01,14.536102259684938
1970-01-01,16.726275845613547
1970-02-01,21.624300410508422
1970-03-01,27.6373224373306
1970-04-01,26.601967651255258
1970-05-01,26.56214631332928
1970-06-01,19.832340203839564
1970-07-01,16.367883804279774
1970-08-01,18.458504045393436
1970-09-01,18.85671742465319
1970-10-01,21.06680167954478
1970-11-01,13.699854163239468
1970-12-01,12.60476737027517
1971-01-01,16.905471866280433
1971-02-01,22.77911921036169
1971-03-01,27.179377051181884
1971-04-01,29.17044394748062
1971-05-01,24.312240720511713
1971-06-01,16.14886644568691
1971-07-01,17.62225594894798
1971-08-01,18.558057390208376
1971-09-01,19.215109465986963
1971-10-01,19.235020134949945
1971-11-01,16.08913443879795
1971-12-01,14.237442225240123
1972-01-01,19.45403749354281
1972-02-01,19.075734783246048
1972-03-01,26.00464758236563
1972-04-01,29.429282643999457
1972-05-01,21.74376442428635
1972-06-01,18.458504045393443
1972-07-01,18.23948668680058
1972-08-01,17.044846549021337
1972-09-01,22.1419778035461
1972-10-01,18.37886136954149
1972-11-01,15.810385073316127
1972-12-01,13.321551452942712
1973-01-01,18.23948668680058
1973-02-01,23.336617941325336
1973-03-01,27.13955571325591
1973-04-01,27.05991303740397
1973-05-01,21.16635502435972
1973-06-01,20.17082157621034
1973-07-01,14.974136976870664
1973-08-01,17.861183976503824
1973-09-01,20.051357562432425
1973-10-01,19.493858831468785
1973-11-01,15.053779652722604
1973-12-01,13.699854163239474
1974-01-01,17.861183976503824
1974-02-01,23.33661794132533
1974-03-01,29.648300002592315
1974-04-01,23.097689913769486
1974-05-01,24.491436741178607
1974-06-01,17.263863907614194
1974-07-01,16.20859845257587
1974-08-01,19.97171488658048
1974-09-01,20.469481610655162
1974-10-01,18.358950700578507
1974-11-01,16.865650528354458
1974-12-01,12.00744730138555
1975-01-01,19.07573478324604
1975-02-01,23.794563327474048
1975-03-01,26.58205698229227
1975-04-01,25.825451561698753
1975-05-01,24.13304469984482
1975-06-01,16.6466331697616
1975-07-01,17.14439989383628
1975-08-01,18.856717424653183
1975-09-01,19.89207221072853
1975-10-01,18.159844010948632
1975-11-01,14.81485162516676
1975-12-01,14.09806754249922
1976-01-01,19.673054852135664
1976-02-01,22.679565865546753
1976-03-01,24.86973945147536
1976-04-01,28.393927857924115
1976-05-01,24.969292796290297
1976-06-01,16.885561197317433
1976-07-01,18.398772038504486
1976-08-01,18.697432072949287
1976-09-01,18.577968059171365
1976-10-01,18.637700066060322
1976-11-01,12.545035363386205
1976-12-01,16.009491762946006
1977-01-01,19.951804217617486
1977-02-01,24.690543430808475
1977-03-01,25.20822082384614
1977-04-01,25.128578147994194
1977-05-01,23.973759348140923
1977-06-01,19.732786859024635
1977-07-01,15.73074239746418
1977-08-01,18.23948668680058
1977-09-01,19.991625555543468
1977-10-01,18.876628093616173
1977-11-01,13.460926135683625
1977-12-01,14.65556627346286
1978-01-01,19.991625555543468
1978-02-01,22.122067134583105
1978-03-01,25.60643420310589
1978-04-01,28.732409230294905
1978-05-01,22.06233512769414
1978-06-01,18.299218693689536
1978-07-01,16.825829190428482
1978-08-01,19.633233514209696
1978-09-01,19.673054852135664
1978-10-01,18.15984401094864
1978-11-01,13.719764832202458
1978-12-01,14.55601292864792
1979-01-01,21.684032417397393
1979-02-01,20.66858830028503
1979-03-01,26.42277163058837
1979-04-01,25.845362230661735
1979-05-01,24.491436741178592
1979-06-01,18.856717424653198
1979-07-01,15.750653066427162
1979-08-01,18.796985417764226
1979-09-01,20.429660272729187
1979-10-01,16.86565052835445
1979-11-01,16.228509121538863
1979-12-01,14.137888880425193
1980-01-01,17.542613273096027
1980-02-01,22.440637837990902
1980-03-01,27.49794775458969
1980-04-01,27.418305078737735
1980-05-01,25.626344872068884
1980-06-01,17.781541300651867
1980-07-01,16.825829190428475
1980-08-01,18.5182360522824
1980-09-01,19.97171488658048
1980-10-01,18.558057390208376
1980-11-01,15.073690321685602
1980-12-01,12.326018004793347
1981-01-01,20.66858830028503
1981-02-01,21.72385375532337
1981-03-01,30.325262747333884
1981-04-01,23.515813961992215
1981-05-01,22.838851217250653
1981-06-01,16.68645450768757
1981-07-01,17.642166617910956
